学籍番号,学生氏名,学生氏名(フリガナ),学生氏名(英字),性別,所属コード,所属名称,学年,セメスタ,在学区分コード,在学区分名称
1220180394,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12240.65476,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,2.166666667,3.333333333,30,在学
1223515273,全　寅秀,ジョン　インス,JEON IN-SU,男性,12241.05952,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,2.083333333,3.166666667,30,在学
1226850152,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12241.46429,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,2,3,30,在学
1230185031,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12241.86905,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,1.916666667,2.833333333,30,在学
1233519910,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12242.27381,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1.833333333,2.666666667,30,在学
1236854788,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12242.67857,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1.75,2.5,30,在学
1240189667,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12243.08333,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1.666666667,2.333333333,30,在学
1243524546,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12243.4881,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,1.583333333,2.166666667,30,在学
1246859425,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12243.89286,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,1.5,2,30,在学
1250194304,全　寅秀,ジョン　インス,JEON IN-SU,男性,12244.29762,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,1.416666667,1.833333333,30,在学
1253529183,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12244.70238,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,1.333333333,1.666666667,30,在学
1256864062,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12245.10714,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,1.25,1.5,30,在学
1260198940,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12245.5119,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1.166666667,1.333333333,30,在学
1263533819,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12245.91667,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1.083333333,1.166666667,30,在学
1266868698,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12246.32143,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,1,1,30,在学
1270203577,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12246.72619,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,0.916666667,0.833333333,30,在学
1273538456,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12247.13095,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,0.833333333,0.666666667,30,在学
1276873335,全　寅秀,ジョン　インス,JEON IN-SU,男性,12247.53571,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,0.75,0.5,30,在学
1280208214,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12247.94048,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,0.666666667,0.333333333,30,在学
1283543092,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12248.34524,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,0.583333333,0.166666667,30,在学
1286877971,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12248.75,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,0.5,2.66454E-15,30,在学
1290212850,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12249.15476,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,0.416666667,-0.166666667,30,在学
1293547729,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12249.55952,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,0.333333333,-0.333333333,30,在学
1296882608,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12249.96429,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,0.25,-0.5,30,在学
1300217487,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12250.36905,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,0.166666667,-0.666666667,30,在学
1303552366,全　寅秀,ジョン　インス,JEON IN-SU,男性,12250.77381,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,0.083333333,-0.833333333,30,在学
1306887244,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12251.17857,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-3.55271E-15,-1,30,在学
1310222123,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12251.58333,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-0.083333333,-1.166666667,30,在学
1313557002,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12251.9881,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-0.166666667,-1.333333333,30,在学
1316891881,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12252.39286,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-0.25,-1.5,30,在学
1320226760,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12252.79762,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-0.333333333,-1.666666667,30,在学
1323561639,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12253.20238,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,-0.416666667,-1.833333333,30,在学
1326896518,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12253.60714,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,-0.5,-2,30,在学
1330231396,全　寅秀,ジョン　インス,JEON IN-SU,男性,12254.0119,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,-0.583333333,-2.166666667,30,在学
1333566275,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12254.41667,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-0.666666667,-2.333333333,30,在学
1336901154,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12254.82143,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-0.75,-2.5,30,在学
1340236033,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12255.22619,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-0.833333333,-2.666666667,30,在学
1343570912,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12255.63095,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-0.916666667,-2.833333333,30,在学
1346905791,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12256.03571,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-1,-3,30,在学
1350240670,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12256.44048,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,-1.083333333,-3.166666667,30,在学
1353575548,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12256.84524,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,-1.166666667,-3.333333333,30,在学
1356910427,全　寅秀,ジョン　インス,JEON IN-SU,男性,12257.25,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,-1.25,-3.5,30,在学
1360245306,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12257.65476,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-1.333333333,-3.666666667,30,在学
1363580185,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12258.05952,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,-1.416666667,-3.833333333,30,在学
1366915064,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12258.46429,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-1.5,-4,30,在学
1370249943,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12258.86905,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,-1.583333333,-4.166666667,30,在学
